机器	机型	配方	计划批每tick	计划负载	端口上限	存货端口数	取货端口数	进料各端口	出料各端口	逐机逐物品守恒
M062	粉碎机	粉碎-砂叶	1	1	3	1	3	C040:砂叶=1(M179)	C091:砂叶粉末=1(M132); C092:砂叶粉末=1(M133); C093:砂叶粉末=1(M134)	通过
M063	粉碎机	粉碎-砂叶	1	1	3	1	3	C041:砂叶=1(M180)	C094:砂叶粉末=1(M135); C095:砂叶粉末=1(M136); C096:砂叶粉末=1(M137)	通过
M064	粉碎机	粉碎-砂叶	1	1	3	1	3	C042:砂叶=1(M181)	C097:砂叶粉末=1(M138); C098:砂叶粉末=1(M139); C099:砂叶粉末=1(M140)	通过
M065	粉碎机	粉碎-砂叶	1	1	3	1	3	C043:砂叶=1(M182)	C100:砂叶粉末=1(M141); C101:砂叶粉末=1(M142); C102:砂叶粉末=1(M143)	通过
M066	粉碎机	粉碎-砂叶	1	1	3	1	3	C044:砂叶=1(M183)	C103:砂叶粉末=1(M144); C104:砂叶粉末=1(M145); C105:砂叶粉末=1(M146)	通过
M067	粉碎机	粉碎-砂叶	1	1	3	1	3	C045:砂叶=1(M184)	C106:砂叶粉末=1(M147); C107:砂叶粉末=1(M148); C108:砂叶粉末=1(M149)	通过
M068	粉碎机	粉碎-砂叶	1/2	1/2	3	1	3	C056:砂叶=1/2(M195)	C109:砂叶粉末=1/2(M150); C110:砂叶粉末=1/2(M150); C111:砂叶粉末=1/2(M151)	通过
M069	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C215:蓝铁矿=1(仓库出矿口)	C181:蓝铁块=1(M018)	通过
M070	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C216:蓝铁矿=1(仓库出矿口)	C182:蓝铁块=1(M019)	通过
M071	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C217:蓝铁矿=1(仓库出矿口)	C183:蓝铁块=1(M020)	通过
M072	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C218:蓝铁矿=1(仓库出矿口)	C184:蓝铁块=1(M021)	通过
M073	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C219:蓝铁矿=1(仓库出矿口)	C185:蓝铁块=1(M022)	通过
M074	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C220:蓝铁矿=1(仓库出矿口)	C186:蓝铁块=1(M023)	通过
M075	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C221:蓝铁矿=1(仓库出矿口)	C187:蓝铁块=1(M024)	通过
M076	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C222:蓝铁矿=1(仓库出矿口)	C188:蓝铁块=1(M025)	通过
M077	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C223:蓝铁矿=1(仓库出矿口)	C189:蓝铁块=1(M026)	通过
M078	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C224:蓝铁矿=1(仓库出矿口)	C190:蓝铁块=1(M027)	通过
M079	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C225:蓝铁矿=1(仓库出矿口)	C191:蓝铁块=1(M028)	通过
M080	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C226:蓝铁矿=1(仓库出矿口)	C192:蓝铁块=1(M029)	通过
M081	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C227:蓝铁矿=1(仓库出矿口)	C193:蓝铁块=1(M030)	通过
M082	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C228:蓝铁矿=1(仓库出矿口)	C194:蓝铁块=1(M031)	通过
M083	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C229:蓝铁矿=1(仓库出矿口)	C195:蓝铁块=1(M032)	通过
M084	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C230:蓝铁矿=1(仓库出矿口)	C196:蓝铁块=1(M033)	通过
M085	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C231:蓝铁矿=1(仓库出矿口)	C197:蓝铁块=1(M034)	通过
M086	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C232:蓝铁矿=1(仓库出矿口)	C198:蓝铁块=1(M035)	通过
M087	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C233:蓝铁矿=1(仓库出矿口)	C199:蓝铁块=1(M036)	通过
M088	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C234:蓝铁矿=1(仓库出矿口)	C200:蓝铁块=1(M037)	通过
M089	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C235:蓝铁矿=1(仓库出矿口)	C201:蓝铁块=1(M038)	通过
M090	精炼炉	精炼-蓝铁矿	1	1	3	1	1	C236:蓝铁矿=1(仓库出矿口)	C202:蓝铁块=1(M039)	通过
