time,pid,tag,rss_kb,hwm_kb,swap_kb
07:25:34,237435,batch_c_probe_3_,13030716,14845292,0
07:25:35,237435,batch_c_probe_3_,13030716,14845292,0
07:25:36,237435,batch_c_probe_3_,13030716,14845292,0
07:25:37,237435,batch_c_probe_3_,13030716,14845292,0
07:25:38,237435,batch_c_probe_3_,13030716,14845292,0
07:25:39,237435,batch_c_probe_3_,13030716,14845292,0
07:25:40,237435,batch_c_probe_3_,13030716,14845292,0
07:25:41,237435,batch_c_probe_3_,13030716,14845292,0
07:25:42,237435,batch_c_probe_3_,13030716,14845292,0
07:25:43,237435,batch_c_probe_3_,13030716,14845292,0
07:25:44,237435,batch_c_probe_3_,13030716,14845292,0
07:25:45,237435,batch_c_probe_3_,13030716,14845292,0
07:25:46,237435,batch_c_probe_3_,13030716,14845292,0
07:25:47,237435,batch_c_probe_3_,13030716,14845292,0
07:25:48,237435,batch_c_probe_3_,13030716,14845292,0
07:25:49,237435,batch_c_probe_3_,13030716,14845292,0
07:25:50,237435,batch_c_probe_3_,13030716,14845292,0
07:25:51,237435,batch_c_probe_3_,13030716,14845292,0
07:25:52,237435,batch_c_probe_3_,13030716,14845292,0
07:25:53,237435,batch_c_probe_3_,13030716,14845292,0
07:25:54,237435,batch_c_probe_3_,13030716,14845292,0
07:25:55,237435,batch_c_probe_3_,13030716,14845292,0
07:25:56,237435,batch_c_probe_3_,13030716,14845292,0
07:25:57,237435,batch_c_probe_3_,13030716,14845292,0
07:25:59,237435,batch_c_probe_3_,13030716,14845292,0
07:26:00,237435,batch_c_probe_3_,13030716,14845292,0
07:26:01,237435,batch_c_probe_3_,13030716,14845292,0
07:26:02,237435,batch_c_probe_3_,13030716,14845292,0
07:26:03,237435,batch_c_probe_3_,13030716,14845292,0
07:26:04,237435,batch_c_probe_3_,13030716,14845292,0
07:26:05,237435,batch_c_probe_3_,13030716,14845292,0
07:26:06,237435,batch_c_probe_3_,13030716,14845292,0
07:26:07,237435,batch_c_probe_3_,13030716,14845292,0
07:26:08,237435,batch_c_probe_3_,13030716,14845292,0
07:26:09,237435,batch_c_probe_3_,13030716,14845292,0
07:26:10,237435,batch_c_probe_3_,13030716,14845292,0
07:26:11,237435,batch_c_probe_3_,13030716,14845292,0
07:26:12,237435,batch_c_probe_3_,13030716,14845292,0
07:26:13,237435,batch_c_probe_3_,13030716,14845292,0
