{'pos': (31, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (32, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (33, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (34, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (35, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (36, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (37, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (38, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (39, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (40, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (41, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (42, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (43, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (44, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (45, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (46, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (47, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (48, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (49, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (50, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (51, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (52, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (53, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (54, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (55, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (56, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (57, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (58, 1), 'n': 550, 'status': 0, 'max': 13, 'dual': 12.999999999999998, 'optimal': True}
{'pos': (59, 1), 'n': 537, 'status': 0, 'max': 13, 'dual': 13.0, 'optimal': True}
{'pos': (60, 1), 'n': 511, 'status': 0, 'max': 13, 'dual': 13.00000000000001, 'optimal': True}
{'pos': (61, 1), 'n': 478, 'status': 0, 'max': 12, 'dual': 12.0, 'optimal': True}
{'pos': (62, 1), 'n': 439, 'status': 0, 'max': 12, 'dual': 12.0, 'optimal': True}
{'pos': (63, 1), 'n': 400, 'status': 0, 'max': 11, 'dual': 11.0, 'optimal': True}
{'pos': (64, 1), 'n': 364, 'status': 0, 'max': 10, 'dual': 10.0, 'optimal': True}
{'pos': (65, 1), 'n': 331, 'status': 0, 'max': 9, 'dual': 9.0, 'optimal': True}
{'pos': (66, 1), 'n': 300, 'status': 0, 'max': 8, 'dual': 8.00000000000001, 'optimal': True}
{'pos': (67, 1), 'n': 270, 'status': 0, 'max': 7, 'dual': 7.0, 'optimal': True}
